Index,SMILES,LogP,TPSA
353,C#CCCC(=O)O,0.48439999999999994,37.3
354,CCCC1OC1C,1.5737999999999999,12.53
355,CCCC(C)C(=O)CC,2.401700000000001,17.07
356,CCCCC(=O)NC,0.9225999999999999,29.1
357,NCCNCc1ccccc1Cl,1.3882999999999996,38.05
358,CCCCCCc1cccnc1,3.2044000000000015,12.89
359,CCCCCC(C)C(C)C,3.858800000000003,0.0
360,CCCCCCCCCCOC,3.773500000000003,9.23
361,CC=CC(=O)OCCCC,1.9058,26.3
362,CCCCN(N)CCCC,1.7623,29.259999999999998
363,Cl[Al](Cl)Cl,1.6877,0.0
364,CC(O)(CCO)CCO,-0.49779999999999996,60.69
365,O=[Si]=O,-0.6184000000000001,34.14
366,Br[Al](Br)Br,2.156,0.0
367,NS(=O)(=O)Cl,-0.5712999999999997,60.160000000000004
368,[Li+].[NH2-],-2.2789,33.5
369,I[Hg-2](I)(I)I,3.5403000000000002,0.0
370,Br[Co]Br,1.6887,0.0
371,I[Sb](I)I,2.2763,0.0
372,Br[Pb]Br,1.3104,0.0
373,NN.O=S(=O)(O)O,-1.8339999999999996,126.64000000000001
374,C=COCCOCCOCC,1.1996,27.69
375,ClN1CC1,0.45580000000000004,3.01
376,CCB1OCCO1,0.5413,18.46
377,CCC1(CC)COC1,1.823,9.23
378,O=NN1CC=CC1,0.5396000000000001,32.67
379,[I-].[NH4+],-2.6198,36.5
380,Br[Fe](Br)Br,2.5343,0.0
381,CC(=O)N(C)O,-0.14610000000000006,40.540000000000006
382,CCc1cnc(CC)cn1,1.6014,25.78
383,C=CN(CC)N=O,1.1332,32.67
384,CCCCNCC,1.396,12.03
385,COC(C)COCC(C)O,0.4186999999999999,38.69
386,CC1CCCN(N=O)C1,1.3997,32.67
387,CCc1cnccn1,1.039,25.78
388,COP(=O)(CCl)CCl,2.3035000000000005,26.3
389,[144Ce],0.0,0.0
390,CCCC1=NCCN1,0.7882,24.39
391,OCN1CCN(CO)C1=S,-1.2115,46.94
392,O.[Hg].[Hg],-0.8297000000000001,31.5
393,CC(C)C=CC(C)C,2.8546000000000014,0.0
394,Nc1ccc(=O)ccc1O,0.33460000000000006,63.32000000000001
395,C1CSCCO1,0.7498,9.23
396,CCC1(CC)CNC1=O,0.9225999999999999,29.1
397,O=[Sb]O[Sb]=O,-1.0676,43.370000000000005
398,C=CCC(C)C(C)C,2.8546000000000014,0.0
399,CCCCn1cnnc1,1.0781999999999998,30.71
400,CCN(N=O)C(C)C,1.3981000000000001,32.67
401,C1=CCC2CC2C1,1.9725,0.0
402,CCC(C)CC(C)(C)C,3.468700000000003,0.0
403,O=c1[nH]cccc1O,0.08050000000000002,53.09
404,CCOP(=O)(CCl)CI,2.889800000000001,26.3
405,Clc1ccc2ocnc2c1,2.4812000000000003,26.03
406,CCCCC(C)CCC(C)C,4.2489000000000035,0.0
407,NC(=O)SCCCCl,1.4272000000000002,43.09
408,CC(C)C1OCCS1,1.7319,9.23
409,CSc1ccccn1,1.8034999999999999,12.89
410,O.O.[Fe],-1.6519000000000001,63.0
411,O=[Mo]=O,-0.2401,34.14
412,CCC[N+](C)(C)C,1.1025999999999998,0.0
413,CCOC=CC=O,0.7355,26.3
414,CCN[N+](=O)[O-],-0.21239999999999987,55.17
415,NCCNc1ccc(N)cc1,0.6393999999999997,64.07
416,COC1OCCO1,-0.036799999999999944,27.69
417,NCC1Cc2ccccc2O1,0.9487999999999999,35.25
418,O=CC=CCl,0.9378,17.07
419,Oc1cccc2cnccc12,1.9403999999999995,33.120000000000005
420,CC1=CCOC1=O,0.4895,26.3
421,CCCC(C)=CC(C)=O,2.3218000000000005,17.07
422,N#CC(Cl)=CCl,1.82898,23.79
423,CCOC(OCC)OCC,1.3795,27.69
424,OCCNc1ccccc1,1.0908,32.26
425,CCCC(C)C=O,1.6215,17.07
426,CCCCCC(=O)OCC,2.1298000000000004,26.3
427,C1COCCO1,0.03320000000000001,18.46
428,C=CCCCCCCC,3.5329000000000024,0.0
429,ClC(Br)Br,2.2986000000000004,0.0
430,O=S(=O)(O)CI,0.2667000000000002,54.370000000000005
431,C=CC(=C)Cl,1.9248999999999998,0.0
432,NCCSCSCCN,0.3277,52.04
433,COC(=O)[Hg]Br,1.1452,26.3
434,C=CCC(=O)O,0.6471,37.3
435,Cc1cccc(C)c1Cl,2.9568400000000015,0.0
436,Cc1cccc2occc12,2.741220000000001,13.14
437,CCc1nccnc1OC,1.0475999999999999,35.010000000000005
438,FC(F)C(Cl)Cl,2.0552,0.0
439,OCCOCCOC1CCCCC1,1.3445999999999998,38.69
440,CCCCCCCCCCNO,3.105900000000001,32.26
441,C#CCN(CC#C)N=O,0.23620000000000008,32.67
442,CC#CCCC,1.8098,0.0
443,O=S(=O)(O)CCBr,0.2691000000000002,54.370000000000005
444,O=C1CCCNC1,-0.0611000000000001,29.1
445,CC=CC=CCOCCO,1.1276,29.46
446,CCCCC1OC1CC,2.354,12.53
447,Cc1ccc(CCO)cc1C,1.8382399999999999,20.23
448,CCC=CCCC=CCO,2.2813000000000003,20.23
449,CCCCCCC1=NCCN1,1.9585,24.39
450,C1=CC=CCCC=C1,2.4488000000000003,0.0
451,CCc1cccc(O)c1C,2.26302,20.23
452,CC1CCC(C)(C)CC1,3.2227000000000023,0.0
453,CCN1CCN(CC)C1=S,0.9286999999999997,6.48
454,Oc1ccc(CCl)cc1,2.1310000000000002,20.23
455,CC1CCCCC12SCCS2,3.3728000000000025,0.0
456,ClC=CCCCl,2.367800000000001,0.0
457,CCC=C(C)C#N,1.86628,23.79
458,CC1=NC1C(=O)O,-0.08590000000000003,49.66
459,CCCCC[Hg],2.1417,0.0
460,O=c1ccccc(O)c1O,0.458,57.53
461,COC=C(C)C1CC1,1.9465999999999999,9.23
462,CCC1CCC1O,1.1673,20.23
463,BrC1CC1c1ccccc1,2.937400000000001,0.0
464,C[N+](C)(C)CCS,0.6224000000000001,0.0
465,COCN(C)N=O,0.20350000000000001,41.9
466,NC(N)=NCCCS,-0.42030000000000006,64.4
467,CCNC(C)CC(C)C,2.0305,12.03
468,CC1CCCC12CSCCO2,2.3086,9.23
469,CCCCCC(=O)N1CC1,1.4089,20.08
470,Cc1c[nH]c(C)c1,1.63154,15.79
471,CCCC=C(CC)CO,2.1152,20.23
472,Cn1sccc1=O,0.4468,22.0
473,O=c1cc(O)c1=O,-1.0118,54.37
474,C=C(Cl)CC,2.1489000000000003,0.0
475,CCN(CC)CCCC#CCO,1.1040999999999999,23.47
476,CCCCOC(O)OCCCC,1.8957,38.69
477,N#CCN1CCCCCC1,1.38598,27.03
478,C=CCCCC=CC(C)=O,2.4879000000000007,17.07
479,CC(C)(C)CCCC=O,2.401700000000001,17.07
480,C=CCN(CCO)CCO,-0.5410000000000001,43.7
481,O=NN1CCC(=O)CC1,0.3327000000000001,49.74
482,C#CCC1C=CCCC1,2.3660000000000005,0.0
483,CCCC(N)(CC)CCC,2.6941000000000015,26.02
484,ClC[As](Cl)CCl,1.7727,0.0
485,C=COC(=O)N(C)C,0.8281000000000001,29.54
486,CCN(COC)N=O,0.5935999999999999,41.9
487,CCC=CC(C)C(=O)O,1.6733,37.3
488,OCC#C[Hg]C#CCO,-1.0247000000000002,40.46
489,NCCSc1nnc(N)s1,0.17110000000000014,77.82
490,CCCCCCCSC,3.3198000000000016,0.0
491,CCN(CC)CC#N,0.85178,27.03
492,CC(C)(N)c1cccs1,1.9419,26.02
493,CCCC[Hg],1.7516,0.0
494,CCCC[As](Cl)CC,3.0367000000000015,0.0
495,NNc1cccs1,1.0337000000000003,38.05
496,COC1CCCO1,0.7693,18.46
497,CCN(CCCl)CCCCl,2.176,3.24
498,CC(C)COC(=O)NCO,0.31840000000000007,58.56
499,CCCC(C)(C)SSCCN,2.9052000000000007,26.02
500,NNCCCCSc1ccccc1,2.0222,38.05
501,CC1CSC(C)CS1,2.2434000000000003,0.0
502,O=NN1CCSC1,0.6741,32.67
503,CN(CCCl)CCI,1.592,3.24
504,OCCN=Cc1cccs1,1.1593,32.59
505,CN(COO)N=O,0.0466999999999998,62.13
506,CCNC1CCC2CC21,1.3944,12.03
507,CCC[Hg],1.3615,0.0
508,C=C=C(Cl)CC=C,2.4701000000000004,0.0
509,ClC=CC=C(Cl)Cl,3.057900000000001,0.0
510,NC(=O)CC1CO1,-0.7394000000000003,55.620000000000005
511,CC(Cl)C(S)CS,1.8419000000000003,0.0
512,S=C=NCC(Br)=CBr,2.7204000000000006,12.36
513,ClCCCSCc1ccco1,3.141700000000001,13.14
514,CCC(O)C(C)CO,0.3857,40.46
515,C=C(C)C(C)C(C)C,2.8546000000000014,0.0
516,CCOCCBr,1.4178,9.23
517,CCSC(C)=O,1.286,17.07
518,C=CC#CC=C,1.3618,0.0
519,CC(O)C(CO)C(C)O,-0.6435000000000002,60.69
520,CP(C)(=S)Cl,1.8793,0.0
521,C=CCOC=O,0.3454,26.3
522,CC(=O)SCc1ccco1,2.0593,30.21
523,[N-]=[N+]=NCl,1.4505,48.760000000000005
524,N.N.N.N.[Cu+2],0.6454999999999996,140.0
